Country Name,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.479449987,3.462009907,2.604199886,3.454459906,3.695219994,3.255800009
Albania,..,..,..,..,..,..,..,3.44698,3.814640045,3.083509922,3.37947011,3.536979914,3.592930079,3.430170059,3.458699942,3.117799997,3.138240099,3.227519989,3.281549931,3.191459894,3.275929928,..,..,..,..,..,3.539299965,..,3.437969923
Algeria,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.33701992,..,..,..,..,..,..,..
American Samoa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,..,..,..,..,..,..,..,..,..,..,3.713279963,..,..,..,..,1.65971005,..,1.544119954,1.644970059,2.244899988,2.104690075,2.873929977,3.142920017,2.976629972,2.98706007,..,2.506160021,3.074209929,3.28034997
Angola,5.058509827,..,..,..,..,..,..,..,..,..,..,2.567120075,..,2.607530117,..,..,..,..,2.120110035,2.281460047,..,..,..,3.421319962,..,..,..,..,..
Antigua and Barbuda,..,..,..,..,..,..,..,..,..,..,..,..,2.753969908,..,..,3.394279957,..,..,..,..,..,..,2.517240047,..,..,..,..,..,..
Arab World,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.6707201,..,..,..,4.33701992,..,..,..,..,..,..,..
Argentina,1.282299995,..,1.046120048,1.067379951,..,..,..,..,..,3.731980085,..,4.039869785,4.521679878,4.580309868,4.833740234,4.017340183,3.535049915,3.486520052,3.860009909,4.128210068,4.462600231,4.844409943,5.531050205,5.019710064,5.290629864,5.345829964,5.436610222,5.361440182,5.776110172
Armenia,..,..,..,..,..,..,..,..,..,1.848430037,..,..,2.235189915,2.772730112,2.469439983,2.135040045,2.145040035,2.486730099,2.712029934,2.715770006,3.018939972,3.172729969,3.840790033,3.249000072,3.143850088,2.772480011,2.650180101,2.247240067,2.80591011
Aruba,..,..,..,..,..,..,..,..,..,..,..,4.763909817,4.395540237,4.714680195,4.739860058,4.923649788,..,4.408480167,4.68132019,..,4.815040112,4.999229908,5.924789906,6.929269791,6.119130135,6.549059868,6.505380154,5.905210018,5.975709915
Australia,5.06994009,4.918310165,4.749139786,4.676340103,4.794789791,4.692409992,5.516520023,5.254740238,5.143909931,5.240970135,..,..,..,4.891469955,..,..,..,..,4.910299778,4.750199795,4.660890102,4.637760162,5.085820198,5.550059795,5.074510098,4.868999958,5.229740143,5.164770126,5.311270237
Austria,5.376110077,5.190730095,5.01816988,4.957250118,5.103219986,5.296979904,5.251999855,..,5.428349972,5.259900093,..,6.103740215,6.112339973,5.588809967,5.575479984,5.522130013,5.361830235,5.302430153,5.249370098,5.226520061,5.146900177,5.263959885,5.730249882,5.700479984,5.592269897,5.480400085,5.547110081,5.447619915,5.456580162
Azerbaijan,..,..,..,..,..,6.057970047,..,..,3.337369919,3.512569904,..,3.380019903,4.212140083,3.853990078,3.503420115,3.154459953,3.286149979,3.447700024,2.974620104,2.555520058,2.549279928,2.44092989,3.224309921,2.780620098,2.435640097,2.067630053,2.442130089,2.633039951,2.951679945
"Bahamas, The",..,..,..,..,..,..,..,..,..,..,..,..,..,2.232840061,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.874409914,2.575000048,2.496779919,..,..,..,2.645309925,2.476890087,2.467459917,2.668080091
Bangladesh,1.513640046,..,..,1.519119978,1.425660014,1.631770015,1.692620039,..,..,..,1.952469945,..,2.132819891,2.125080109,2.171930075,2.017149925,2.069390059,1.940140009,..,2.131289959,2.202219963,2.05456996,1.939419985,..,2.132699966,2.175499916,1.966160059,..,..
Barbados,..,..,..,..,6.638700008,..,..,..,..,..,..,..,4.341239929,4.71585989,6.055369854,5.880620003,6.245699883,6.024280071,5.669650078,..,5.220389843,4.922599792,5.116179943,6.054399967,..,5.262740135,5.148990154,6.143499851,..
Belarus,..,..,..,..,..,..,..,..,..,..,..,..,6.000010014,6.196619987,..,..,..,5.712259769,5.871029854,6.076960087,5.152100086,..,4.368939877,5.220039845,4.684790134,4.959640026,5.009419918,4.818309784,4.787519932
Belgium,4.577129841,4.300720215,..,..,..,..,5.372310162,5.411039829,2.988660097,3.049479961,..,..,..,..,..,..,..,..,5.795859814,..,..,6.332940102,6.458099842,6.442590237,6.431990147,..,6.630529881,6.590469837,6.451570034
Belize,..,..,..,..,..,..,..,..,..,..,..,..,5.44343996,5.028429985,5.79708004,..,5.24905014,5.33630991,..,..,..,5.772630215,6.178120136,6.719810009,..,..,6.425360203,6.614729881,6.88888979
Benin,..,..,..,..,..,..,..,..,..,..,..,2.747889996,1.921939969,2.113660097,2.365099907,2.159490108,2.283159971,2.566900015,2.656680107,2.56340003,2.363310099,2.777280092,3.089270115,3.679970026,..,3.562020063,3.327510118,3.161789894,3.17298007
Bermuda,..,..,..,3.136199951,3.150650024,3.4760499,..,..,..,..,..,2.152270079,..,..,..,..,1.666270018,1.775879979,1.988770008,..,..,..,2.615190029,2.6442101,..,..,..,1.782850027,1.698600054
Bhutan,..,..,..,..,..,..,..,..,..,..,..,..,..,5.513790131,5.91573,..,..,6.609069824,7.287149906,..,..,4.911590099,4.741740227,4.12473011,4.765230179,..,5.722750187,6.04489994,7.590099812
Bolivia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Botswana,6.117730141,6.151110172,..,5.739630222,..,6.840610027,..,..,..,..,..,..,..,..,..,..,..,..,10.67858982,..,8.851490021,..,9.632920265,..,..,..,..,..,..
Brazil,..,..,..,..,..,..,..,..,4.568160057,..,..,4.756659985,3.800620079,3.948930025,3.844680071,3.750370026,..,3.974479914,4.4790802,4.870600224,4.974259853,5.268839836,5.463550091,5.648799896,5.737410069,5.855100155,5.838850021,5.948480129,6.24105978
British Virgin Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.904769897,..,..,..,3.046329975,3.57675004,3.151900053,..,3.476289988,3.816999912,..,..,..,..,5.134789944
Brunei Darussalam,4.737730026,5.409029961,4.69012022,3.959959984,3.668940067,3.747689962,4.29403019,..,..,..,..,5.253950119,4.932050228,3.705909967,..,..,..,..,..,..,..,..,..,2.046610117,3.322099924,2.889590025,..,3.353189945,..
Bulgaria,..,..,..,4.454060078,5.429619789,5.2604599,4.950489998,4.170660019,2.372070074,2.230079889,..,2.739429951,..,..,3.384239912,3.386080027,3.998450041,2.319950104,4.108799934,3.903460026,3.682640076,4.222380161,4.27628994,3.882390022,3.566430092,3.49484992,4.074200153,..,..
Burkina Faso,..,1.426079988,..,..,..,..,..,3.451100111,..,1.440260053,..,..,..,..,..,..,..,..,3.941139936,3.982189894,4.07983017,..,..,3.502229929,3.985150099,3.603159904,4.083439827,4.053299904,3.67008996
Burundi,..,..,..,3.359329939,3.493659973,3.805850029,..,4.565269947,5.015110016,4.083240032,..,..,3.417449951,2.645479918,2.903909922,3.004930019,..,3.74496007,3.632159948,..,..,5.192900181,6.171949863,6.775249958,6.319250107,6.167860031,5.995359898,6.784520149,6.370540142
Cabo Verde,..,..,..,..,..,..,..,..,..,..,..,6.391769886,6.801680088,..,..,7.876820087,..,7.476640224,..,6.529600143,5.407549858,5.518000126,5.308959961,5.567289829,5.043610096,..,5.001440048,4.963870049,5.266910076
Cambodia,..,..,..,..,..,..,..,..,..,..,..,1.259070039,..,1.655990005,1.722219944,1.711210012,..,1.719820023,..,..,1.599300027,..,1.665680051,1.533789992,1.510689974,1.560899973,2.05053997,1.909389973,..
Cameroon,2.93091011,2.714730024,2.648960114,3.287100077,3.220230103,2.750999928,..,..,..,..,..,..,..,1.779919982,2.424180031,..,3.091419935,3.013639927,2.887170076,2.741450071,3.075229883,2.611180067,3.109420061,2.993659973,2.766769886,2.697180033,2.768019915,2.687129974,2.768049955
Canada,6.32446003,6.176149845,6.098320007,5.991990089,6.884300232,6.770939827,7.704259872,6.680019855,6.324450016,..,..,5.511970043,5.549940109,5.441999912,4.969560146,5.01072979,..,..,4.782149792,..,4.780360222,4.638259888,4.852640152,5.36992979,5.274439812,..,..,..,..
Caribbean small states,..,3.940860033,4.691925049,4.216645002,4.383069992,3.336659908,3.214030027,3.747999907,3.473814964,3.463250041,3.852375031,2.438920021,2.756119967,3.869560003,4.223160028,4.459119916,3.696724892,3.912549973,4.616419792,..,5.49022007,6.191319942,6.198480129,6.370600224,6.266640186,6.112460136,6.251080036,6.016540051,5.455770016
Cayman Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,2.548049927,..,..,2.244199991,2.276309967,..,..,..,..,..,..,..,1.690019965,1.612650037,..,1.519569993,1.539800048,1.624529958,1.652220011,1.415060043,1.313320041,1.290009975,1.254580021,1.117609978,1.107920051,..,..,..,..
Central Europe and the Baltics,..,..,..,..,..,5.202790022,4.950489998,4.900255203,4.655275106,4.334750175,..,4.95043993,4.583669901,4.868400097,5.077809811,5.179230213,5.074510098,4.861130238,4.813159943,4.71378994,4.590549946,4.83453989,4.958040237,4.761209965,4.590109825,4.466775179,4.564869881,4.61743021,4.812260151
Chad,..,..,..,..,..,..,..,..,..,..,2.27335,1.64902997,3.227859974,2.646709919,2.42614007,..,..,1.592949986,1.694769979,..,..,..,2.311739922,1.981940031,2.2579,2.206150055,2.850709915,..,..
Channel Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,2.82329011,..,..,2.250159979,..,..,2.383719921,2.511820078,2.564699888,2.796250105,3.012459993,3.340150118,3.729219913,3.77583003,..,4.081210136,3.963459969,3.538389921,3.262830019,3.021529913,3.21378994,3.792429924,4.230649948,4.162089825,4.045189857,..,4.529429913,4.730949879,4.875309944
China,1.804250002,1.764179945,..,..,..,1.65455997,1.657850027,1.985710025,1.841920018,1.853389978,..,1.844329953,1.888039947,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Colombia,..,..,2.705250025,..,..,..,..,..,..,..,..,3.926440001,4.44080019,3.511209965,3.708679914,4.268129826,4.325139999,4.079349995,4.020989895,3.916719913,4.083010197,3.938780069,4.776519775,4.83382988,4.466080189,4.370389938,4.878550053,4.629459858,4.470389843
Comoros,..,..,..,..,..,..,..,..,..,..,..,2.201359987,..,..,..,2.258419991,..,..,..,..,..,4.42264986,..,..,2.830450058,2.747839928,2.382760048,2.744729996,2.545059919
"Congo, Dem. Rep.",0.861199975,0.814840019,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.524979949,..,..,2.062210083,1.951429963,2.170439959
"Congo, Rep.",..,..,..,..,..,..,..,6.373119831,4.910339832,..,..,4.068270206,..,..,..,3.208319902,2.836159945,2.288130045,1.835770011,..,..,..,..,6.220789909,..,..,..,4.017199993,4.561470032
Costa Rica,..,4.013229847,4.077849865,..,..,..,..,..,3.371680021,3.910860062,..,..,5.416870117,4.68696022,4.851099968,5.173540115,5.156360149,4.912179947,..,4.639180183,4.658899784,4.91711998,6.046350002,6.634449959,6.455349922,6.68983984,6.849339962,6.869520187,7.082540035
Cote d'Ivoire,..,..,..,..,..,6.781139851,6.50304985,4.78869009,4.301449776,4.056230068,4.030889988,3.787940025,4.094329834,3.703670025,3.668679953,4.090330124,3.967989922,4.127860069,4.105750084,4.00150013,4.258329868,4.341259956,4.41245985,4.553460121,4.137549877,4.654109955,4.729000092,4.577429771,3.494159937
